"111年08月 1309 台達化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/08/01","936,710","22,233,824","24.05","24.05","23.55","23.80","-0.25","611",
"111/08/02","697,801","16,237,357","23.65","23.65","23.10","23.15","-0.65","630",
"111/08/03","718,426","16,399,238","23.00","23.10","22.70","22.80","-0.35","612",
"111/08/04","1,608,323","35,299,343","22.50","22.50","21.60","21.85","-0.95","1,128",
"111/08/05","792,872","17,419,671","21.70","22.20","21.65","22.05","+0.20","555",
"111/08/08","625,277","13,596,182","21.85","21.90","21.55","21.80","-0.25","358",
"111/08/09","646,550","14,230,581","21.80","22.25","21.60","22.25","+0.45","377",
"111/08/10","787,496","17,711,403","22.05","22.70","22.00","22.70","+0.45","505",
"111/08/11","809,857","18,640,950","22.90","23.20","22.85","23.10","+0.40","523",
"111/08/12","739,007","16,912,061","23.10","23.15","22.70","22.85","-0.25","672",
"111/08/15","780,532","17,729,057","22.70","22.95","22.65","22.80","-0.05","594",
"111/08/16","741,080","17,087,773","22.95","23.20","22.85","23.00","+0.20","375",
"111/08/17","316,393","7,319,200","23.20","23.30","23.00","23.15","+0.15","280",
"111/08/18","466,605","10,673,861","23.15","23.15","22.80","22.85","-0.30","337",
"111/08/19","400,214","9,126,804","23.05","23.05","22.70","22.90","+0.05","269",
"111/08/22","283,640","6,449,773","22.70","22.90","22.60","22.75","-0.15","249",
"111/08/23","333,509","7,531,449","22.60","22.70","22.50","22.60","-0.15","233",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
