"111年08月 1210 大成             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/08/01","497,433","24,114,065","48.80","48.80","48.35","48.40","-0.50","779",
"111/08/02","860,284","41,100,862","48.40","48.40","47.55","47.55","-0.85","1,136",
"111/08/03","894,133","42,057,979","47.25","47.25","46.70","47.15","-0.40","1,135",
"111/08/04","991,517","46,474,746","47.15","47.20","46.70","47.20","+0.05","1,305",
"111/08/05","498,254","23,587,351","47.30","47.55","47.20","47.35","+0.15","598",
"111/08/08","262,737","12,462,972","47.30","47.75","47.10","47.75","+0.40","381",
"111/08/09","472,352","22,684,380","47.75","48.40","47.75","48.10","+0.35","448",
"111/08/10","636,336","30,440,567","48.20","48.25","47.60","47.60","-0.50","756",
"111/08/11","698,210","33,574,102","48.05","48.35","47.90","48.00","+0.40","624",
"111/08/12","823,293","40,220,711","48.30","49.15","48.30","48.90","+0.90","890",
"111/08/15","1,075,377","53,040,597","49.20","49.80","48.95","49.70","+0.80","1,078",
"111/08/16","671,492","33,298,068","49.80","50.00","49.30","49.55","-0.15","882",
"111/08/17","708,610","35,182,234","49.55","49.80","49.50","49.50","-0.05","724",
"111/08/18","888,512","43,619,173","49.50","49.50","48.90","49.10","-0.40","943",
"111/08/19","633,881","31,044,516","49.10","49.15","48.80","49.10"," 0.00","615",
"111/08/22","953,295","47,168,490","48.80","49.75","48.80","49.75","+0.65","834",
"111/08/23","904,976","45,134,920","49.50","50.10","49.35","49.95","+0.20","875",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
