"112年10月 3356 奇偶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","824,365","39,272,766","47.25","48.20","47.25","47.90","+0.90","620",
"112/10/03","1,181,580","56,542,639","48.15","48.60","47.45","47.50","-0.40","799",
"112/10/04","902,125","41,044,780","46.15","46.15","45.05","45.20","X0.00","669",
"112/10/05","308,315","14,030,111","45.30","45.80","45.30","45.30","+0.10","303",
"112/10/06","444,831","20,161,623","45.80","45.95","45.05","45.05","-0.25","522",
"112/10/11","1,621,938","69,587,790","45.50","45.50","41.95","42.00","-3.05","1,420",
"112/10/12","514,311","22,048,731","42.05","43.25","42.05","43.15","+1.15","472",
"112/10/13","391,623","16,673,207","42.95","43.10","42.20","42.25","-0.90","386",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
