"112年10月 3454 晶睿             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","140,429","21,866,167","154.00","157.00","154.00","156.00","+2.00","221",
"112/10/03","256,841","39,231,825","155.00","155.00","151.50","151.50","-4.50","351",
"112/10/04","231,490","34,616,533","150.00","151.00","148.00","150.00","-1.50","267",
"112/10/05","187,346","28,298,832","151.50","152.50","150.00","151.00","+1.00","249",
"112/10/06","364,663","54,780,042","151.00","153.00","147.50","149.00","-2.00","421",
"112/10/11","1,109,031","158,915,459","146.00","146.00","142.00","142.50","-6.50","990",
"112/10/12","649,331","95,895,356","143.50","150.50","143.50","149.00","+6.50","660",
"112/10/13","350,911","51,260,526","149.00","149.00","144.50","145.50","-3.50","486",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
