"112年10月 3543 州巧             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","39,037","813,665","21.00","21.00","20.65","20.65"," 0.00","37",
"112/10/03","17,025","349,655","20.65","20.65","20.50","20.55","-0.10","19",
"112/10/04","19,004","388,631","20.50","20.80","20.35","20.80","+0.25","16",
"112/10/05","23,006","477,982","20.50","20.90","20.50","20.70","-0.10","18",
"112/10/06","18,070","370,847","20.50","20.70","20.50","20.50","-0.20","19",
"112/10/11","38,019","779,836","20.65","20.65","20.50","20.50"," 0.00","34",
"112/10/12","26,022","536,234","20.50","20.75","20.50","20.70","+0.20","25",
"112/10/13","63,012","1,293,140","20.60","20.60","20.50","20.50","-0.20","35",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
