"112年10月 3563 牧德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","174,847","36,121,818","203.50","208.00","203.50","206.00","+2.50","181",
"112/10/03","143,848","29,901,329","206.00","210.50","206.00","206.00"," 0.00","721",
"112/10/04","67,210","13,732,268","204.00","205.50","203.00","205.50","-0.50","697",
"112/10/05","565,243","111,469,440","197.50","199.50","194.00","197.00","-8.50","1,157",
"112/10/06","200,111","39,123,887","198.50","198.50","194.50","194.50","-2.50","401",
"112/10/11","194,584","37,757,383","194.00","196.00","192.50","194.00","-0.50","235",
"112/10/12","116,078","22,589,241","194.00","196.50","193.50","195.50","+1.50","141",
"112/10/13","178,036","34,276,296","193.50","195.00","191.00","191.00","-4.50","284",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
