"112年10月 3622 洋華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","932,686","36,368,039","38.20","39.60","38.20","39.10","+0.60","728",
"112/10/03","691,946","26,907,002","38.65","39.35","38.60","38.95","-0.15","483",
"112/10/04","489,425","18,926,566","38.70","39.25","38.10","39.25","+0.30","492",
"112/10/05","538,357","21,154,722","39.25","39.90","39.00","39.00","-0.25","454",
"112/10/06","385,637","15,263,684","39.50","39.90","39.10","39.75","+0.75","329",
"112/10/11","525,494","20,778,362","40.10","40.40","39.00","39.05","-0.70","456",
"112/10/12","619,841","24,716,922","39.20","40.30","39.00","40.10","+1.05","546",
"112/10/13","703,549","28,729,454","40.00","41.40","40.00","40.70","+0.60","936",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
