"112年10月 3673 TPK-KY           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","736,873","25,139,711","33.90","34.30","33.80","34.20","+0.55","494",
"112/10/03","733,787","25,273,074","34.20","34.65","34.20","34.35","+0.15","446",
"112/10/04","551,229","18,693,217","34.40","34.40","33.75","34.00","-0.35","440",
"112/10/05","585,133","20,050,698","34.10","34.40","33.80","34.40","+0.40","388",
"112/10/06","684,185","23,296,640","34.45","34.45","33.95","34.05","-0.35","436",
"112/10/11","1,083,222","37,089,559","34.35","34.55","33.95","34.05"," 0.00","613",
"112/10/12","589,616","20,258,642","34.00","34.55","34.00","34.50","+0.45","418",
"112/10/13","1,287,342","44,891,144","34.45","35.10","34.25","34.90","+0.40","803",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
