"112年10月 4960 誠美材           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,395,766","29,289,686","12.20","12.30","12.15","12.30","+0.10","705",
"112/10/03","2,893,286","34,939,190","12.25","12.30","11.95","11.95","-0.35","891",
"112/10/04","1,950,497","23,155,111","11.90","11.95","11.75","11.90","-0.05","502",
"112/10/05","568,503","6,793,650","11.95","12.00","11.90","11.90"," 0.00","269",
"112/10/06","2,725,183","32,832,083","11.90","12.10","11.85","12.05","+0.15","658",
"112/10/11","6,880,785","84,112,291","12.05","12.45","11.90","12.25","+0.20","1,667",
"112/10/12","3,723,445","46,032,615","12.25","12.45","12.15","12.35","+0.10","1,146",
"112/10/13","8,310,528","104,928,703","12.35","12.80","12.25","12.55","+0.20","1,947",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
