"112年10月 6225 天瀚             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","0","0","--","--","--","--"," 0.00","0",
"112/10/03","5,000","47,370","9.37","9.51","9.37","9.49","X0.00","5",
"112/10/04","2,895","27,009","9.33","9.33","9.33","9.33","-0.16","6",
"112/10/05","2,410","22,788","9.21","9.21","9.21","9.21","-0.12","4",
"112/10/06","6,226","58,600","8.89","9.28","8.89","9.28","+0.07","12",
"112/10/11","2,002","18,077","8.96","8.96","8.96","8.96","-0.32","4",
"112/10/12","8,506","82,244","9.38","9.68","9.38","9.66","+0.70","15",
"112/10/13","6,996","66,960","9.89","9.92","9.89","9.91","+0.25","8",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
