"112年10月 6443 元晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,291,636","36,925,783","28.80","28.80","28.45","28.65","+0.30","910",
"112/10/03","1,288,485","36,478,210","28.70","28.70","28.15","28.15","-0.50","972",
"112/10/04","2,735,043","75,928,723","28.05","28.15","27.60","27.70","-0.45","1,508",
"112/10/05","3,153,171","89,826,502","28.05","28.75","27.90","28.65","+0.95","1,786",
"112/10/06","1,883,235","53,773,322","28.65","28.80","28.35","28.45","-0.20","1,611",
"112/10/11","5,360,558","148,913,669","28.55","28.55","27.50","27.60","-0.85","3,232",
"112/10/12","2,660,448","74,035,034","27.75","28.15","27.45","28.15","+0.55","1,623",
"112/10/13","2,655,727","73,845,605","27.90","28.25","27.60","27.65","-0.50","1,804",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
