"112年10月 6668 中揚光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","124,510","4,572,191","37.00","37.00","36.50","37.00","+0.25","77",
"112/10/03","106,243","3,917,429","36.80","37.30","36.55","37.00"," 0.00","84",
"112/10/04","53,000","1,943,600","36.50","36.70","36.50","36.55","-0.45","34",
"112/10/05","69,101","2,548,856","36.70","37.20","36.65","36.95","+0.40","54",
"112/10/06","163,559","6,114,135","36.90","37.75","36.90","37.30","+0.35","137",
"112/10/11","120,438","4,476,880","38.05","38.05","36.70","36.70","-0.60","105",
"112/10/12","359,375","13,575,596","37.00","38.85","36.55","37.15","+0.45","272",
"112/10/13","138,254","5,156,024","37.50","37.50","36.90","37.35","+0.20","112",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
