"112年10月 8215 明基材           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","754,758","26,384,736","35.00","35.20","34.75","35.10","+0.25","482",
"112/10/03","656,585","23,038,165","35.35","35.40","34.90","35.00","-0.10","428",
"112/10/04","3,037,872","107,499,066","35.50","36.05","35.05","35.05","+0.05","2,107",
"112/10/05","1,564,657","55,726,989","35.35","35.85","35.20","35.65","+0.60","1,103",
"112/10/06","781,946","27,798,932","35.85","35.90","35.30","35.45","-0.20","752",
"112/10/11","954,273","33,440,874","35.75","35.75","34.80","34.85","-0.60","748",
"112/10/12","860,787","30,465,792","35.15","35.65","35.00","35.60","+0.75","650",
"112/10/13","404,480","14,356,193","35.35","35.65","35.35","35.50","-0.10","560",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
