"112年10月 5284 jpp-KY           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","800,498","109,154,719","135.00","137.50","134.50","137.50","+4.00","723",
"112/10/03","468,402","64,027,617","138.00","138.50","135.50","135.50","-2.00","416",
"112/10/04","429,308","58,030,472","134.00","137.00","133.00","136.50","+1.00","407",
"112/10/05","809,467","109,303,366","137.50","138.00","134.00","134.00","-2.50","677",
"112/10/06","427,609","57,784,554","134.00","137.00","134.00","136.00","+2.00","393",
"112/10/11","882,609","120,061,858","139.00","140.50","132.00","132.00","-4.00","684",
"112/10/12","310,157","41,059,261","131.00","133.50","131.00","132.50","+0.50","371",
"112/10/13","654,983","84,964,102","132.00","132.00","128.00","129.00","-3.50","638",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
