"112年10月 6641 基士德-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","35,868","1,532,271","43.50","43.50","42.20","42.75","-0.75","54",
"112/10/03","17,929","765,935","42.75","42.75","42.65","42.65","-0.10","39",
"112/10/04","2,319","99,254","43.00","43.00","43.00","43.00","+0.35","15",
"112/10/05","498","21,361","--","--","--","--"," 0.00","13",
"112/10/06","13,827","599,468","44.50","44.50","43.00","43.10","X0.00","25",
"112/10/11","2,635","113,592","43.00","43.00","43.00","43.00","-0.10","9",
"112/10/12","4,182","180,656","43.00","43.40","43.00","43.40","+0.40","11",
"112/10/13","11,513","491,599","43.00","43.00","42.60","42.65","-0.75","19",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
