"112年10月 6655 科定             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,014","245,692","122.00","122.00","122.00","122.00","+1.50","4",
"112/10/03","1,000","122,000","122.00","122.00","122.00","122.00"," 0.00","1",
"112/10/04","12,099","1,492,160","122.50","124.00","122.50","124.00","+2.00","12",
"112/10/05","88","11,001","--","--","--","--"," 0.00","5",
"112/10/06","4,657","581,470","125.00","125.00","125.00","125.00","X0.00","57",
"112/10/11","16,151","2,016,870","124.00","125.00","124.00","124.50","-0.50","42",
"112/10/12","5,000","623,500","125.00","125.00","124.00","125.00","+0.50","5",
"112/10/13","1,001","124,625","124.50","124.50","124.50","124.50","-0.50","2",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
