"112年10月 8341 日友             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","117,032","13,298,827","114.00","114.00","113.00","113.50"," 0.00","304",
"112/10/03","74,958","8,528,876","113.50","114.00","113.50","113.50"," 0.00","205",
"112/10/04","160,091","18,034,406","113.50","114.00","112.00","112.50","-1.00","464",
"112/10/05","90,604","10,248,291","113.00","114.00","112.00","113.00","+0.50","240",
"112/10/06","113,011","12,780,333","112.50","113.50","112.50","113.50","+0.50","276",
"112/10/11","264,456","29,616,475","112.00","112.50","111.50","111.50","-2.00","732",
"112/10/12","179,133","20,065,089","111.50","113.00","111.00","113.00","+1.50","381",
"112/10/13","139,458","15,661,584","112.00","112.50","112.00","112.00","-1.00","355",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
