"112年10月 8481 政伸             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,165","60,710","51.80","51.80","51.80","51.80","+0.30","2",
"112/10/03","15,000","778,600","51.90","52.00","51.80","51.90","+0.10","7",
"112/10/04","5,050","260,800","51.70","51.70","51.50","51.60","-0.30","6",
"112/10/05","20,167","1,048,517","51.60","52.30","51.60","52.10","+0.50","17",
"112/10/06","1,000","52,100","52.10","52.10","52.10","52.10"," 0.00","1",
"112/10/11","6,280","326,136","52.10","52.20","51.40","52.20","+0.10","11",
"112/10/12","7,200","376,100","52.20","52.30","52.20","52.30","+0.10","7",
"112/10/13","5,000","262,000","52.40","52.40","52.40","52.40","+0.10","1",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
