"112年10月 9924 福興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","164,463","7,053,527","42.80","43.00","42.70","42.95","+0.20","125",
"112/10/03","187,543","8,024,454","42.95","43.00","42.60","42.60","-0.35","187",
"112/10/04","238,683","10,144,354","42.60","42.65","42.40","42.55","-0.05","179",
"112/10/05","156,236","6,655,515","42.55","42.70","42.50","42.55"," 0.00","165",
"112/10/06","167,404","7,110,655","42.60","42.60","42.40","42.45","-0.10","139",
"112/10/11","186,101","7,925,723","42.55","42.65","42.45","42.65","+0.20","131",
"112/10/12","1,389,930","61,270,146","43.50","44.80","43.40","43.95","+1.30","950",
"112/10/13","642,666","28,343,366","44.00","44.45","43.70","43.90","-0.05","468",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
