"112年10月 9930 中聯資源         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","168,254","9,708,288","58.20","58.20","57.50","57.60","-0.20","179",
"112/10/03","760,319","44,091,829","57.30","59.00","56.50","58.40","+0.80","614",
"112/10/04","1,095,716","64,015,989","58.90","59.20","57.50","57.70","-0.70","1,035",
"112/10/05","1,181,274","70,582,992","57.50","61.00","57.50","59.40","+1.70","974",
"112/10/06","375,371","22,049,551","59.60","59.60","58.40","58.50","-0.90","649",
"112/10/11","281,939","16,424,233","58.50","58.70","58.00","58.10","-0.40","302",
"112/10/12","178,893","10,336,673","58.10","58.30","57.40","57.80","-0.30","216",
"112/10/13","189,437","10,865,807","57.80","57.80","57.20","57.30","-0.50","215",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
