"112年10月 9939 宏全             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","437,016","46,317,175","106.00","106.50","105.00","106.50","+1.00","438",
"112/10/03","373,907","39,496,371","106.50","107.00","105.00","105.00","-1.50","400",
"112/10/04","496,802","52,066,657","104.50","105.50","104.00","105.50","+0.50","570",
"112/10/05","531,226","55,921,807","105.50","106.00","104.50","106.00","+0.50","488",
"112/10/06","234,386","24,695,991","106.00","106.00","105.00","105.00","-1.00","334",
"112/10/11","1,196,919","124,159,043","104.00","104.50","103.00","103.50","-1.50","1,163",
"112/10/12","638,710","66,021,548","103.50","104.50","103.00","103.50"," 0.00","754",
"112/10/13","604,689","62,508,501","103.50","104.00","103.00","103.00","-0.50","551",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
