"112年10月 9942 茂順             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","201,832","27,057,623","134.50","134.50","133.00","134.00"," 0.00","454",
"112/10/03","119,168","15,947,819","134.50","134.50","133.00","133.50","-0.50","379",
"112/10/04","207,810","27,516,038","132.00","133.00","131.50","132.50","-1.00","566",
"112/10/05","151,051","20,086,417","134.50","134.50","132.00","133.00","+0.50","385",
"112/10/06","188,035","25,199,457","134.00","135.00","133.00","133.00"," 0.00","416",
"112/10/11","260,691","34,907,826","134.00","135.00","132.50","133.00"," 0.00","427",
"112/10/12","724,498","94,915,338","134.00","134.00","130.00","131.50","-1.50","1,206",
"112/10/13","190,825","25,163,517","131.50","132.50","130.50","132.50","+1.00","347",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
