"112年10月 2477 美隆電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","16,747","328,350","19.65","19.65","19.60","19.60","+0.05","42",
"112/10/03","19,390","378,882","19.55","19.55","19.55","19.55","-0.05","23",
"112/10/04","81,279","1,578,908","19.40","19.55","19.30","19.40","-0.15","51",
"112/10/05","24,107","466,848","19.40","19.50","19.30","19.40"," 0.00","137",
"112/10/06","33,996","655,337","19.30","19.40","19.20","19.25","-0.15","116",
"112/10/11","63,995","1,221,627","19.25","19.45","18.95","19.30","+0.05","205",
"112/10/12","14,236","275,059","19.30","19.40","19.25","19.35","+0.05","46",
"112/10/13","38,925","747,204","19.15","19.30","19.15","19.20","-0.15","31",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
