"112年10月 3305 昇貿             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,753,201","109,901,331","61.20","64.00","61.10","63.10","+2.50","1,111",
"112/10/03","935,388","58,967,189","63.00","63.60","62.50","62.60","-0.50","719",
"112/10/04","537,280","33,503,259","61.90","62.90","61.70","62.90","+0.30","554",
"112/10/05","591,453","37,270,439","63.50","63.90","62.40","62.40","-0.50","681",
"112/10/06","554,384","34,597,573","62.70","63.30","61.90","62.00","-0.40","546",
"112/10/11","887,292","54,429,206","62.70","63.00","60.50","61.10","-0.90","717",
"112/10/12","460,802","28,594,400","61.60","62.90","61.50","62.30","+1.20","375",
"112/10/13","645,788","39,814,760","62.40","62.90","60.80","60.80","-1.50","540",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
