"112年10月 3617 碩天             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","3,345,122","969,372,775","295.00","298.00","282.50","293.00","+2.50","6,687",
"112/10/03","5,869,976","1,716,513,195","297.00","303.00","283.50","284.00","-9.00","5,520",
"112/10/04","2,688,882","764,601,084","278.50","289.50","278.50","282.00","-2.00","3,766",
"112/10/05","2,384,777","689,625,496","285.00","293.00","284.50","289.00","+7.00","2,513",
"112/10/06","1,903,569","552,143,299","289.50","293.00","285.50","289.00"," 0.00","2,721",
"112/10/11","4,201,105","1,143,816,009","291.50","291.50","263.00","264.50","-24.50","6,575",
"112/10/12","3,496,391","880,566,244","250.00","258.00","247.00","253.50","-11.00","3,541",
"112/10/13","3,163,887","800,590,626","258.00","262.00","245.50","250.50","-3.00","3,811",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
