"112年10月 1713 國化             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","98,925","3,432,731","35.20","35.20","34.40","35.00"," 0.00","99",
"112/10/03","29,100","1,015,100","34.90","35.00","34.80","34.90","-0.10","23",
"112/10/04","18,927","657,967","34.70","35.00","34.70","35.00","+0.10","28",
"112/10/05","52,018","1,821,600","34.75","35.25","34.70","35.25","+0.25","79",
"112/10/06","58,318","2,059,882","35.35","35.50","35.20","35.50","+0.25","51",
"112/10/11","49,422","1,743,943","35.50","35.50","35.00","35.30","-0.20","37",
"112/10/12","77,337","2,740,389","35.30","35.70","35.20","35.50","+0.20","165",
"112/10/13","159","5,823","--","--","--","--"," 0.00","12",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
