"112年10月 1717 長興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","520,483","14,770,942","28.55","28.60","28.30","28.35"," 0.00","381",
"112/10/03","726,145","20,526,113","28.30","28.40","28.20","28.20","-0.15","565",
"112/10/04","1,535,572","42,763,853","28.00","28.00","27.75","27.85","-0.35","1,268",
"112/10/05","626,968","17,596,843","27.85","28.25","27.85","28.25","+0.40","472",
"112/10/06","709,146","20,160,790","28.25","28.55","28.15","28.50","+0.25","532",
"112/10/11","1,852,779","53,353,897","28.85","28.95","28.60","28.85","+0.35","1,205",
"112/10/12","971,666","27,893,006","28.90","28.90","28.50","28.85"," 0.00","741",
"112/10/13","1,008,879","28,805,761","28.70","28.75","28.45","28.60","-0.25","805",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
