"112年10月 4755 三福化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","160,559","22,108,344","136.00","139.00","136.00","138.00","+3.00","186",
"112/10/03","60,123","8,257,485","138.00","138.50","136.50","136.50","-1.50","87",
"112/10/04","55,400","7,501,337","135.50","136.50","135.00","135.00","-1.50","67",
"112/10/05","141,962","19,367,000","137.00","137.50","135.50","137.00","+2.00","141",
"112/10/06","113,544","15,628,979","137.00","138.50","137.00","137.50","+0.50","170",
"112/10/11","206,537","27,801,242","138.00","138.00","133.00","133.00","-4.50","283",
"112/10/12","108,720","14,508,840","133.00","134.50","133.00","133.50","+0.50","145",
"112/10/13","143,496","19,067,968","133.00","133.50","132.50","133.50"," 0.00","162",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
