"112年10月 2303 聯電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","25,428,183","1,162,309,309","45.95","45.95","45.50","45.75","+0.55","11,853",
"112/10/03","22,738,517","1,035,656,813","45.70","45.90","45.25","45.25","-0.50","10,458",
"112/10/04","57,163,636","2,527,376,012","44.50","44.70","44.00","44.10","-1.15","26,277",
"112/10/05","45,430,518","2,043,756,319","44.45","45.35","44.30","45.15","+1.05","16,294",
"112/10/06","17,805,502","805,642,099","45.50","45.50","45.05","45.20","+0.05","8,175",
"112/10/11","84,261,769","3,917,165,467","46.05","46.90","45.85","46.90","+1.70","34,458",
"112/10/12","42,182,292","1,972,508,832","47.00","47.05","46.25","47.00","+0.10","20,255",
"112/10/13","42,216,874","1,978,883,847","46.80","47.20","46.40","47.00"," 0.00","14,301",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
