"112年10月 2342 茂矽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","290,819","10,253,890","34.75","35.60","34.75","35.50","+0.75","292",
"112/10/03","186,097","6,664,055","35.50","36.00","35.50","35.90","+0.40","200",
"112/10/04","223,993","7,906,204","35.85","35.85","35.15","35.30","-0.60","298",
"112/10/05","182,832","6,513,830","35.35","35.80","35.35","35.65","+0.35","200",
"112/10/06","185,601","6,632,848","35.65","36.00","35.60","35.70","+0.05","203",
"112/10/11","262,688","9,227,995","36.05","36.05","34.55","35.05","-0.65","297",
"112/10/12","175,949","6,244,324","35.10","35.70","35.10","35.70","+0.65","196",
"112/10/13","158,055","5,638,867","35.45","35.90","35.45","35.55","-0.15","187",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
