"112年10月 2363 矽統             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","85,690,118","3,217,089,314","38.40","38.55","36.50","36.50","-1.25","38,612",
"112/10/03","40,228,578","1,465,598,112","36.15","36.95","36.00","36.40","-0.10","18,804",
"112/10/04","41,210,129","1,519,548,469","36.05","37.50","36.05","37.35","+0.95","18,538",
"112/10/05","58,710,962","2,225,304,837","37.50","38.30","37.40","37.95","+0.60","24,684",
"112/10/06","64,893,038","2,451,406,022","38.25","38.60","37.00","37.20","-0.75","28,530",
"112/10/11","107,548,652","4,270,637,777","38.75","40.90","38.20","40.90","+3.70","38,527",
"112/10/12","211,796,662","9,279,694,016","43.00","44.95","42.20","44.95","+4.05","83,750",
"112/10/13","320,401,663","14,659,289,260","45.00","48.35","43.25","47.70","+2.75","145,851",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
