"112年10月 2388 威盛             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","25,132,745","3,122,090,383","120.50","128.00","120.00","123.00","+4.50","15,890",
"112/10/03","38,418,038","4,736,693,223","124.50","129.50","118.00","118.00","-5.00","24,355",
"112/10/04","13,720,324","1,617,837,691","116.50","120.00","116.00","118.50","+0.50","9,129",
"112/10/05","13,023,721","1,538,222,434","119.50","121.00","116.00","117.00","-1.50","8,830",
"112/10/06","7,675,144","898,015,082","118.00","119.00","116.00","116.00","-1.00","5,130",
"112/10/11","19,743,800","2,196,521,277","116.50","117.50","107.50","108.00","-8.00","12,640",
"112/10/12","22,366,892","2,580,091,410","110.00","118.50","108.50","118.50","+10.50","12,854",
"112/10/13","31,159,784","3,758,886,227","118.50","122.50","118.00","122.00","+3.50","18,167",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
