"112年10月 3035 智原             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","14,558,337","4,576,120,676","312.00","319.00","310.50","312.50","+6.50","11,608",
"112/10/03","11,575,666","3,561,743,925","314.00","316.00","303.00","304.00","-8.50","11,796",
"112/10/04","9,218,495","2,773,851,777","299.00","304.50","297.50","303.00","-1.00","8,432",
"112/10/05","22,753,360","7,176,112,782","306.00","321.50","304.00","321.00","+18.00","18,902",
"112/10/06","13,672,103","4,374,968,003","321.00","323.00","315.00","323.00","+2.00","18,329",
"112/10/11","30,425,526","10,220,487,563","329.00","344.50","328.00","331.00","+8.00","26,337",
"112/10/12","22,810,624","7,756,366,688","337.50","345.00","334.00","345.00","+14.00","18,204",
"112/10/13","17,713,191","5,999,659,271","342.00","344.00","332.00","343.00","-2.00","14,568",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
