"112年10月 3413 京鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","136,058","25,339,252","185.50","187.00","185.50","186.50","+1.00","178",
"112/10/03","167,103","31,240,241","186.00","188.00","186.00","186.50"," 0.00","172",
"112/10/04","129,516","23,995,584","186.00","186.00","184.50","186.00","-0.50","193",
"112/10/05","215,770","40,422,306","186.00","188.00","186.00","188.00","+2.00","257",
"112/10/06","461,998","87,401,642","189.00","190.00","188.00","190.00","+2.00","539",
"112/10/11","565,869","107,657,744","191.50","192.00","189.00","190.00"," 0.00","577",
"112/10/12","340,436","64,819,344","188.50","191.50","188.50","191.00","+1.00","825",
"112/10/13","302,731","57,897,634","191.00","192.00","190.00","191.50","+0.50","1,856",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
