"112年10月 3530 晶相光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","47,260","3,484,698","73.80","74.00","73.30","74.00","+0.60","63",
"112/10/03","43,573","3,221,236","74.60","74.60","73.60","73.80","-0.20","52",
"112/10/04","2,366,186","189,386,800","77.00","81.10","77.00","81.10","+7.30","1,953",
"112/10/05","3,624,915","317,659,229","85.10","89.20","84.90","89.20","+8.10","2,675",
"112/10/06","4,512,132","407,171,690","94.00","94.00","87.60","88.50","-0.70","3,721",
"112/10/11","1,217,361","106,356,853","89.10","89.70","86.00","86.50","-2.00","1,000",
"112/10/12","2,454,097","220,601,779","87.50","92.30","86.30","90.80","+4.30","2,327",
"112/10/13","1,271,782","115,060,773","90.00","92.20","89.00","89.10","-1.70","1,437",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
