"112年10月 4968 立積             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","522,814","76,133,925","145.00","147.00","144.50","145.00","+0.50","594",
"112/10/03","1,484,685","220,635,179","146.00","151.50","146.00","146.50","+1.50","1,332",
"112/10/04","710,712","102,170,885","145.50","145.50","143.00","143.00","-3.50","833",
"112/10/05","945,267","138,917,960","144.50","149.50","144.00","147.00","+4.00","826",
"112/10/06","2,074,936","299,086,681","147.50","148.00","142.00","145.50","-1.50","1,706",
"112/10/11","3,653,137","510,241,966","146.50","147.50","135.00","135.00","-10.50","3,321",
"112/10/12","3,490,921","490,901,086","137.00","144.50","136.00","142.00","+7.00","2,887",
"112/10/13","2,777,034","383,683,178","142.00","143.00","136.00","137.50","-4.50","2,680",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
