"112年10月 6243 迅杰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","180,464","8,280,322","45.40","46.20","45.40","45.85","+0.75","192",
"112/10/03","222,615","10,222,792","46.50","46.50","45.55","45.60","-0.25","215",
"112/10/04","206,869","9,274,936","45.20","45.35","44.60","45.00","-0.60","212",
"112/10/05","783,601","36,433,796","45.60","47.30","45.35","47.10","+2.10","608",
"112/10/06","1,104,373","53,235,486","47.50","49.90","46.95","47.90","+0.80","855",
"112/10/11","704,773","32,752,020","47.55","47.90","45.80","46.25","-1.65","591",
"112/10/12","231,761","10,854,475","46.60","47.20","46.30","47.05","+0.80","204",
"112/10/13","197,258","9,136,687","47.30","47.30","45.90","46.05","-1.00","210",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
