"112年10月 8131 福懋科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","341,531","13,158,733","38.55","38.60","38.50","38.50","-0.05","284",
"112/10/03","359,737","13,874,215","38.50","38.70","38.45","38.50"," 0.00","241",
"112/10/04","240,767","9,218,065","38.50","38.50","38.20","38.25","-0.25","268",
"112/10/05","70,966","2,732,138","38.50","38.65","38.40","38.60","+0.35","82",
"112/10/06","213,831","8,218,306","38.65","38.65","38.35","38.45","-0.15","199",
"112/10/11","164,943","6,368,649","38.40","38.85","38.40","38.80","+0.35","156",
"112/10/12","184,403","7,129,822","38.80","38.80","38.55","38.80"," 0.00","195",
"112/10/13","161,228","6,219,439","38.60","38.70","38.50","38.50","-0.30","167",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
