"112年10月 1303 南亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","3,094,075","205,305,313","66.80","66.80","66.10","66.40","-0.20","2,391",
"112/10/03","3,953,544","259,992,839","65.70","66.10","65.60","65.60","-0.80","3,796",
"112/10/04","9,301,883","599,307,469","65.00","65.10","64.20","64.20","-1.40","7,619",
"112/10/05","4,278,254","277,141,007","64.70","65.10","64.30","64.70","+0.50","2,751",
"112/10/06","2,727,993","177,848,353","65.20","65.50","64.70","65.30","+0.60","2,096",
"112/10/11","9,922,032","658,947,337","66.60","67.00","65.30","66.80","+1.50","5,433",
"112/10/12","7,781,466","524,830,735","67.20","67.80","66.90","67.70","+0.90","4,335",
"112/10/13","6,334,519","420,397,326","66.80","67.00","66.00","66.30","-1.40","5,170",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
