"112年10月 2504 國產             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","872,211","22,002,801","25.20","25.30","25.10","25.30","+0.25","500",
"112/10/03","1,176,376","29,811,039","25.30","25.45","25.25","25.30"," 0.00","479",
"112/10/04","830,522","20,958,346","25.25","25.30","25.15","25.30"," 0.00","474",
"112/10/05","764,206","19,290,473","25.25","25.40","25.20","25.20","-0.10","551",
"112/10/06","1,669,566","42,668,528","25.25","25.85","25.20","25.60","+0.40","806",
"112/10/11","1,471,692","37,482,590","25.65","25.65","25.35","25.55","-0.05","958",
"112/10/12","968,221","24,639,326","25.60","25.60","25.40","25.45","-0.10","631",
"112/10/13","1,219,151","30,988,774","25.45","25.55","25.35","25.40","-0.05","743",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
