"112年10月 2505 國揚             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","150,233","2,735,675","18.10","18.30","18.10","18.30","+0.25","94",
"112/10/03","146,466","2,687,283","18.30","18.50","18.10","18.45","+0.15","96",
"112/10/04","105,429","1,904,327","18.20","18.20","18.00","18.05","-0.40","179",
"112/10/05","73,822","1,334,590","18.00","18.15","18.00","18.10","+0.05","68",
"112/10/06","53,526","968,668","18.05","18.15","18.05","18.10"," 0.00","32",
"112/10/11","134,045","2,432,146","18.10","18.50","18.00","18.25","+0.15","91",
"112/10/12","44,382","810,532","18.25","18.30","18.20","18.30","+0.05","32",
"112/10/13","59,787","1,087,344","18.10","18.35","18.10","18.25","-0.05","76",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
