"112年10月 2528 皇普             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","67,974","1,955,262","28.75","28.85","28.70","28.75","-0.05","39",
"112/10/03","191,100","5,467,963","28.70","28.80","28.25","28.30","-0.45","76",
"112/10/04","646,152","17,991,516","28.25","28.25","27.55","27.55","-0.75","320",
"112/10/05","328,482","9,191,261","27.70","28.50","27.70","27.95","+0.40","141",
"112/10/06","102,000","2,857,000","28.00","28.25","27.85","28.05","+0.10","68",
"112/10/11","144,350","4,070,288","28.05","28.50","27.90","28.30","+0.25","88",
"112/10/12","80,495","2,273,934","28.30","28.35","28.15","28.35","+0.05","39",
"112/10/13","334,191","9,311,769","28.30","28.45","27.60","27.85","-0.50","166",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
