"112年10月 2535 達欣工           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","213,956","7,118,566","33.20","33.35","33.20","33.30","+0.10","356",
"112/10/03","547,451","18,383,403","33.45","33.75","33.25","33.70","+0.40","482",
"112/10/04","346,241","11,601,357","33.70","33.70","33.40","33.50","-0.20","472",
"112/10/05","232,567","7,822,857","33.60","33.75","33.50","33.50"," 0.00","428",
"112/10/06","199,386","6,677,055","33.60","33.60","33.45","33.50"," 0.00","264",
"112/10/11","1,610,413","54,574,643","33.80","34.00","33.70","33.95","+0.45","1,146",
"112/10/12","628,922","21,410,064","33.95","34.10","33.85","34.10","+0.15","743",
"112/10/13","767,720","26,209,394","34.05","34.20","34.00","34.15","+0.05","732",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
