"112年10月 3056 富華新           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,008,516","56,444,415","28.35","28.35","28.00","28.05","-0.30","1,868",
"112/10/03","1,466,820","41,147,487","28.05","28.30","28.00","28.00","-0.05","1,199",
"112/10/04","1,573,903","44,092,551","28.00","28.15","27.90","28.10","+0.10","1,179",
"112/10/05","1,347,840","37,900,451","28.10","28.35","28.00","28.00","-0.10","1,142",
"112/10/06","1,646,253","46,625,267","28.05","28.55","28.00","28.30","+0.30","1,129",
"112/10/11","2,857,904","81,498,019","28.50","28.80","28.20","28.65","+0.35","2,033",
"112/10/12","1,437,825","40,947,266","28.65","28.70","28.15","28.55","-0.10","1,680",
"112/10/13","1,027,095","29,235,013","28.55","28.65","28.25","28.35","-0.20","1,040",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
