"112年10月 3266 昇陽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","32,251","431,462","13.35","13.40","13.35","13.40"," 0.00","13",
"112/10/03","38,100","511,190","13.35","13.45","13.35","13.45","+0.05","13",
"112/10/04","35,001","467,063","13.30","13.45","13.30","13.40","-0.05","19",
"112/10/05","40,001","534,913","13.30","13.40","13.30","13.35","-0.05","17",
"112/10/06","53,000","709,250","13.30","13.40","13.30","13.35"," 0.00","22",
"112/10/11","66,204","886,714","13.40","13.45","13.35","13.40","+0.05","26",
"112/10/12","22,001","295,313","13.40","13.45","13.40","13.45","+0.05","14",
"112/10/13","24,169","324,114","13.35","13.45","13.35","13.40","-0.05","16",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
