"112年10月 5534 長虹             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","362,710","26,920,874","74.10","74.50","74.00","74.40","+0.30","442",
"112/10/03","465,086","34,725,906","74.40","75.00","74.20","74.80","+0.40","369",
"112/10/04","434,899","32,116,996","74.60","74.60","73.60","73.90","-0.90","595",
"112/10/05","205,368","15,192,379","73.80","74.10","73.80","74.00","+0.10","217",
"112/10/06","220,662","16,342,900","74.00","74.40","73.60","74.20","+0.20","241",
"112/10/11","442,001","32,695,966","74.60","74.70","73.60","74.30","+0.10","429",
"112/10/12","283,471","20,915,510","74.10","74.20","73.60","73.80","-0.50","313",
"112/10/13","234,206","17,274,772","73.60","74.20","73.60","73.80"," 0.00","261",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
