"112年10月 2106 建大             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","344,046","10,188,584","29.85","29.95","29.40","29.55","+0.10","209",
"112/10/03","328,262","9,657,358","29.55","29.55","29.30","29.40","-0.15","281",
"112/10/04","276,818","8,111,473","29.30","29.45","29.15","29.25","-0.15","253",
"112/10/05","144,199","4,235,066","29.35","29.45","29.30","29.35","+0.10","129",
"112/10/06","511,973","13,845,736","29.35","29.45","29.30","29.35"," 0.00","168",
"112/10/11","492,853","14,520,050","29.35","29.75","29.30","29.70","+0.35","453",
"112/10/12","392,331","11,570,212","29.85","29.85","29.40","29.55","-0.15","335",
"112/10/13","336,515","9,886,529","29.40","29.45","29.30","29.35","-0.20","245",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
