"112年10月 2109 華豐             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","128,125","1,801,701","14.05","14.20","14.00","14.00"," 0.00","90",
"112/10/03","86,023","1,205,427","14.10","14.10","14.00","14.00"," 0.00","58",
"112/10/04","221,710","3,077,933","14.00","14.00","13.80","13.85","-0.15","144",
"112/10/05","54,023","751,723","13.85","13.95","13.85","13.90","+0.05","40",
"112/10/06","43,014","603,290","14.05","14.05","13.95","13.95","+0.05","35",
"112/10/11","70,107","979,649","13.95","14.10","13.90","13.90","-0.05","62",
"112/10/12","90,461","1,267,013","13.95","14.05","13.95","14.05","+0.15","66",
"112/10/13","71,703","1,007,490","13.95","14.10","13.95","14.00","-0.05","65",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
