"111年08月 1101 台泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/08/01","17,110,698","671,679,196","39.00","39.50","38.75","39.50","+0.75","9,776",
"111/08/02","19,955,061","780,513,754","39.05","39.45","39.00","39.15","-0.35","9,799",
"111/08/03","15,977,710","623,077,746","39.05","39.10","38.75","39.10","-0.05","8,338",
"111/08/04","18,896,588","733,810,251","39.05","39.20","38.55","38.75","-0.35","10,586",
"111/08/05","11,583,378","450,508,108","39.10","39.15","38.80","38.85","+0.10","8,390",
"111/08/08","12,651,503","487,687,121","38.85","38.85","38.30","38.70","-0.15","7,318",
"111/08/09","14,831,229","569,783,300","38.60","38.75","38.20","38.75","+0.05","9,803",
"111/08/10","13,005,899","502,018,549","38.60","38.80","38.35","38.75"," 0.00","6,512",
"111/08/11","21,760,411","848,981,726","38.45","39.35","38.45","39.35","+0.60","8,627",
"111/08/12","12,305,588","482,415,186","39.15","39.35","39.00","39.30","-0.05","8,548",
"111/08/15","12,173,803","477,458,592","39.30","39.45","39.00","39.30"," 0.00","6,719",
"111/08/16","13,078,181","514,161,618","39.50","39.55","39.10","39.35","+0.05","6,445",
"111/08/17","16,463,976","651,431,576","39.40","40.00","39.20","40.00","+0.65","9,075",
"111/08/18","14,155,029","561,346,825","39.90","39.90","39.50","39.80","-0.20","7,807",
"111/08/19","12,838,598","506,351,677","39.80","39.85","39.35","39.45","-0.35","7,491",
"111/08/22","12,895,868","506,391,584","39.25","39.65","39.05","39.65","+0.20","12,379",
"111/08/23","14,727,193","577,644,132","39.50","39.50","39.10","39.35","-0.30","11,351",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
