"111年08月 1102 亞泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/08/01","6,156,627","254,314,986","41.45","41.50","41.00","41.35","-0.10","4,446",
"111/08/02","6,762,440","278,645,193","41.15","41.45","40.85","41.40","+0.05","3,596",
"111/08/03","5,117,862","211,118,477","41.40","41.45","41.00","41.45","+0.05","2,660",
"111/08/04","7,310,848","299,598,685","41.40","41.55","40.70","40.70","-0.75","4,226",
"111/08/05","4,858,636","198,658,372","41.15","41.20","40.70","40.95","+0.25","3,576",
"111/08/08","2,047,273","83,649,527","40.95","41.00","40.65","40.90","-0.05","1,550",
"111/08/09","2,397,414","98,590,103","40.90","41.30","40.90","41.25","+0.35","1,969",
"111/08/10","2,929,540","120,015,541","41.00","41.10","40.85","41.00","-0.25","1,900",
"111/08/11","9,180,583","383,668,697","41.30","42.30","41.20","42.25","+1.25","3,261",
"111/08/12","4,741,337","198,874,806","42.15","42.20","41.70","41.95","-0.30","2,718",
"111/08/15","5,698,590","239,768,382","41.95","42.40","41.85","42.25","+0.30","2,481",
"111/08/16","6,589,548","279,094,193","42.30","42.50","42.15","42.40","+0.15","2,848",
"111/08/17","5,303,697","225,953,604","42.55","42.80","42.35","42.80","+0.40","2,958",
"111/08/18","5,650,328","241,262,752","42.75","42.90","42.50","42.90","+0.10","2,167",
"111/08/19","4,559,370","193,962,587","42.80","42.80","42.30","42.60","-0.30","2,504",
"111/08/22","3,548,256","150,986,173","42.30","42.75","42.10","42.75","+0.15","1,779",
"111/08/23","4,118,668","174,503,004","42.50","42.55","42.10","42.55","-0.20","1,978",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
