"111年08月 1109 信大             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/08/01","250,572","4,978,470","19.85","19.90","19.80","19.90","+0.05","134",
"111/08/02","269,118","5,333,241","19.85","19.85","19.70","19.85","-0.05","164",
"111/08/03","580,885","11,523,805","19.85","19.90","19.75","19.85"," 0.00","293",
"111/08/04","437,669","7,934,188","18.20","18.35","18.00","18.15","X0.00","219",
"111/08/05","205,547","3,735,471","18.15","18.25","18.10","18.15"," 0.00","93",
"111/08/08","115,613","2,083,282","18.10","18.10","17.95","18.00","-0.15","72",
"111/08/09","122,946","2,205,338","17.95","18.00","17.85","18.00"," 0.00","93",
"111/08/10","91,698","1,645,198","17.85","18.00","17.85","18.00"," 0.00","79",
"111/08/11","122,260","2,208,143","18.15","18.15","18.00","18.05","+0.05","64",
"111/08/12","403,756","7,240,274","18.00","18.05","17.80","17.80","-0.25","155",
"111/08/15","184,176","3,297,805","17.85","18.00","17.80","17.90","+0.10","103",
"111/08/16","68,833","1,232,312","17.95","18.00","17.85","17.90"," 0.00","77",
"111/08/17","211,557","3,763,366","17.90","17.90","17.70","17.80","-0.10","135",
"111/08/18","211,385","3,747,474","17.80","17.80","17.60","17.75","-0.05","119",
"111/08/19","213,839","3,787,332","17.70","17.75","17.65","17.70","-0.05","112",
"111/08/22","191,100","3,380,887","17.75","17.85","17.60","17.65","-0.05","172",
"111/08/23","107,560","1,897,274","17.60","17.70","17.60","17.65"," 0.00","71",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
