"112年10月 1319 東陽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","10,572,959","819,580,671","78.00","78.80","76.00","77.80","-0.50","6,507",
"112/10/03","6,854,370","539,510,945","77.80","79.50","77.50","78.70","+0.90","4,599",
"112/10/04","5,269,323","406,480,879","78.50","78.50","76.40","77.00","-1.70","5,028",
"112/10/05","17,254,001","1,372,397,136","79.50","81.30","77.80","78.30","+1.30","10,939",
"112/10/06","6,129,864","479,860,608","78.80","79.50","77.40","77.60","-0.70","4,171",
"112/10/11","8,922,141","700,548,642","78.70","79.40","76.60","78.90","+1.30","5,695",
"112/10/12","35,459,666","2,985,952,318","81.00","86.70","80.60","86.70","+7.80","22,634",
"112/10/13","24,866,970","2,090,217,206","86.50","86.50","82.30","83.40","-3.30","17,802",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
