"112年10月 1521 大億             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","49,907","1,870,010","37.60","37.70","37.10","37.15","-0.45","147",
"112/10/03","55,426","2,061,679","37.15","37.70","37.05","37.50","+0.35","109",
"112/10/04","56,170","2,065,652","37.15","37.15","36.55","36.70","-0.80","82",
"112/10/05","24,103","890,691","37.40","37.40","36.70","36.80","+0.10","39",
"112/10/06","58,248","2,118,305","36.20","36.80","36.10","36.80"," 0.00","72",
"112/10/11","118,258","4,461,329","37.05","38.75","37.05","37.40","+0.60","125",
"112/10/12","115,091","4,411,772","38.90","38.90","37.80","38.10","+0.70","99",
"112/10/13","86,430","3,296,963","38.10","38.60","37.80","37.80","-0.30","82",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
