"112年10月 1524 耿鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","6,126,928","159,090,404","26.05","26.35","25.50","26.10","+0.10","3,113",
"112/10/03","6,042,874","158,804,976","26.10","26.75","25.85","26.00","-0.10","3,006",
"112/10/04","7,869,342","206,754,647","26.00","26.60","25.70","26.35","+0.35","4,126",
"112/10/05","9,599,948","255,105,127","26.70","27.05","26.10","26.40","+0.05","5,098",
"112/10/06","9,847,359","263,419,427","26.75","27.10","26.45","26.55","+0.15","5,091",
"112/10/11","5,998,412","157,845,377","27.00","27.05","25.90","26.00","-0.55","2,991",
"112/10/12","14,783,377","397,850,340","26.20","27.30","26.00","27.10","+1.10","7,397",
"112/10/13","12,001,751","325,300,970","26.95","27.50","26.45","27.25","+0.15","6,275",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
