"112年10月 1587 吉茂             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","168,342","4,074,701","24.15","24.45","24.10","24.40","+0.25","111",
"112/10/03","111,597","2,705,653","24.20","24.35","24.15","24.15","-0.25","123",
"112/10/04","164,811","3,912,709","24.10","24.10","23.55","23.60","-0.55","126",
"112/10/05","97,965","2,352,249","24.10","24.15","23.70","24.10","+0.50","79",
"112/10/06","60,533","1,452,194","24.15","24.15","23.90","23.95","-0.15","76",
"112/10/11","219,329","5,127,029","23.80","23.80","23.05","23.25","-0.70","203",
"112/10/12","58,476","1,371,133","23.25","23.55","23.25","23.50","+0.25","51",
"112/10/13","95,309","2,241,845","23.80","23.80","23.40","23.60","+0.10","61",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
