"112年10月 2115 六暉-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","39,116","1,171,616","30.00","30.15","29.90","30.00"," 0.00","32",
"112/10/03","40,457","1,207,239","29.90","29.90","29.75","29.90","-0.10","38",
"112/10/04","22,448","671,619","29.85","30.20","29.70","29.75","-0.15","22",
"112/10/05","18,632","556,621","29.90","30.05","29.80","29.80","+0.05","24",
"112/10/06","6,030","180,000","29.80","29.95","29.80","29.85","+0.05","7",
"112/10/11","36,635","1,094,816","29.70","30.15","29.70","30.00","+0.15","35",
"112/10/12","60,047","1,793,310","30.20","30.20","29.60","29.95","-0.05","40",
"112/10/13","21,054","631,468","30.00","30.05","29.95","30.00","+0.05","14",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
