"112年10月 2207 和泰車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","147,430","96,258,471","655.00","660.00","651.00","651.00","-4.00","402",
"112/10/03","244,100","156,688,019","640.00","648.00","634.00","640.00","-11.00","874",
"112/10/04","545,188","340,695,711","630.00","640.00","620.00","621.00","-19.00","1,455",
"112/10/05","253,687","161,144,959","628.00","640.00","628.00","635.00","+14.00","474",
"112/10/06","236,995","148,808,059","636.00","639.00","625.00","628.00","-7.00","617",
"112/10/11","594,329","387,075,146","645.00","657.00","634.00","654.00","+26.00","908",
"112/10/12","373,689","243,748,864","653.00","657.00","644.00","652.00","-2.00","596",
"112/10/13","190,191","123,692,375","648.00","657.00","647.00","649.00","-3.00","683",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
