"112年10月 2231 為升             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","148,764","21,083,587","141.00","143.00","141.00","142.00","+2.50","146",
"112/10/03","206,079","28,913,144","141.50","142.00","139.50","140.50","-1.50","280",
"112/10/04","179,963","24,954,711","139.00","139.50","138.00","138.50","-2.00","342",
"112/10/05","140,347","19,543,820","138.50","140.00","138.50","139.00","+0.50","170",
"112/10/06","115,308","16,082,305","140.00","140.00","138.50","139.50","+0.50","132",
"112/10/11","334,154","46,267,994","139.50","140.00","138.00","138.00","-1.50","357",
"112/10/12","289,560","40,650,967","139.00","141.50","138.50","141.50","+3.50","292",
"112/10/13","343,713","48,600,875","141.50","142.50","140.00","141.00","-0.50","333",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
