"112年10月 2236 百達-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,018,571","80,109,241","80.60","80.70","76.90","78.00","-2.60","779",
"112/10/03","438,755","34,281,284","77.20","79.90","77.00","77.00","-1.00","379",
"112/10/04","355,094","27,403,959","76.80","78.00","76.10","78.00","+1.00","575",
"112/10/05","1,345,811","109,510,887","78.30","82.40","78.30","82.00","+4.00","988",
"112/10/06","665,093","53,860,199","83.00","83.00","79.50","80.20","-1.80","924",
"112/10/11","1,045,851","80,540,011","81.30","82.20","74.90","75.90","-4.30","789",
"112/10/12","885,178","70,342,253","78.20","80.90","77.00","80.50","+4.60","599",
"112/10/13","554,572","44,011,283","80.00","81.00","78.10","78.80","-1.70","510",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
