"112年10月 4551 智伸科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","67,925","9,388,992","137.50","139.00","137.00","138.50","+2.50","88",
"112/10/03","67,019","9,199,954","137.50","138.50","136.50","136.50","-2.00","130",
"112/10/04","50,130","6,843,680","136.00","137.50","135.50","137.00","+0.50","51",
"112/10/05","63,534","8,749,839","139.00","139.00","137.00","137.00"," 0.00","66",
"112/10/06","29,628","4,069,892","136.50","138.00","136.50","137.00"," 0.00","38",
"112/10/11","270,854","37,253,477","136.00","139.00","136.00","138.00","+1.00","212",
"112/10/12","77,698","10,650,420","138.00","138.00","136.50","136.50","-1.50","88",
"112/10/13","136,885","18,515,195","137.00","137.00","134.50","134.50","-2.00","147",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
