"112年10月 4581 光隆精密-KY      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","229,434","16,532,882","71.30","72.60","71.30","72.40","+1.30","172",
"112/10/03","274,574","19,971,851","72.40","73.80","71.80","72.80","+0.40","195",
"112/10/04","125,334","9,146,291","72.40","73.40","72.40","73.30","+0.50","103",
"112/10/05","220,631","15,971,823","73.40","73.90","71.60","71.60","-1.70","288",
"112/10/06","115,310","8,233,610","71.60","72.00","71.00","72.00","+0.40","170",
"112/10/11","203,635","14,857,051","72.40","74.40","72.40","72.60","+0.60","186",
"112/10/12","208,143","15,303,062","73.00","74.50","72.80","73.30","+0.70","164",
"112/10/13","92,182","6,714,539","72.40","73.60","72.40","72.80","-0.50","78",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
