"112年10月 6288 聯嘉             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,610,692","49,227,505","30.05","30.90","30.05","30.60","+0.70","977",
"112/10/03","25,289,783","825,258,421","31.85","33.65","31.00","31.00","+0.40","11,081",
"112/10/04","28,313,706","929,373,879","30.80","33.80","30.75","33.30","+2.30","15,986",
"112/10/05","20,409,532","673,770,631","33.70","34.25","32.50","32.55","-0.75","11,148",
"112/10/06","10,500,000","345,985,003","32.90","33.60","32.05","33.50","+0.95","6,261",
"112/10/11","7,310,259","238,517,106","33.50","33.50","32.10","32.15","-1.35","4,425",
"112/10/12","4,540,564","148,455,322","32.10","33.10","32.10","32.55","+0.40","2,800",
"112/10/13","3,346,380","108,806,604","32.55","33.00","32.15","32.25","-0.30","2,231",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
