"112年10月 6505 台塑化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,295,741","104,389,708","80.80","80.90","80.20","80.30","-0.30","1,125",
"112/10/03","1,654,768","131,423,208","80.00","80.10","79.10","79.10","-1.20","1,660",
"112/10/04","2,537,060","198,451,194","78.70","78.70","78.00","78.10","-1.00","2,358",
"112/10/05","1,281,423","100,269,272","78.30","78.50","78.10","78.20","+0.10","1,108",
"112/10/06","1,272,408","99,629,152","78.80","78.80","78.10","78.40","+0.20","1,145",
"112/10/11","4,413,998","356,847,335","80.20","81.50","79.50","81.40","+3.00","3,143",
"112/10/12","2,913,599","236,210,581","81.60","81.70","80.60","81.40"," 0.00","2,047",
"112/10/13","1,578,207","126,546,889","80.20","80.60","80.00","80.10","-1.30","1,281",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
