"112年10月 1733 五鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","109,247","2,941,484","27.00","27.15","26.80","26.85","-0.05","93",
"112/10/03","125,226","3,367,629","26.80","27.10","26.80","26.90","+0.05","99",
"112/10/04","123,014","3,288,022","26.75","26.90","26.60","26.75","-0.15","100",
"112/10/05","111,945","3,001,262","26.70","27.00","26.70","26.80","+0.05","79",
"112/10/06","62,737","1,691,865","26.95","27.10","26.90","27.00","+0.20","70",
"112/10/11","107,364","2,875,655","26.85","27.00","26.65","26.70","-0.30","106",
"112/10/12","63,635","1,706,408","26.70","26.95","26.70","26.75","+0.05","54",
"112/10/13","74,061","1,985,533","26.85","26.85","26.80","26.80","+0.05","52",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
